id,mid,uid,parent,t,reposts_count,attitudes_count,comments_count,text,original_text,user_created_at,followers_count,bi_followers_count,favourites_count,statuses_count,friends_count,username,screen_name,user_description,gender,province,city,verified,verified_reason,verified_type,user_location,user_avatar,user_geo_enabled,picture,geo
"4242443412849865","4242443412849865",1848737054,"4242425860188448",1526960792,0,0,0,"摄像头会花","摄像头会花",1289293324,2750,494,837,18310,859,"庫馬吉君","庫馬吉君","【耻の多い生涯を送って来ました。】","m","100","1000",true,"搞笑幽默博主",0,"其他","https://tva1.sinaimg.cn/crop.0.0.320.320.180/6e317d1ejw8ejzsbmdw4mj208w08wwes.jpg",false,null,null
"4242444322992604","4242444322992604",3639691293,"4242425860188448",1526961009,0,0,0,"[中国赞][中国赞][中国赞]","[中国赞][中国赞][中国赞]",1382426470,15,3,3,62,176,"咿呀呦呦啊","咿呀呦呦啊","","m","41","13",false,"",-1,"河南 南阳","https://tva4.sinaimg.cn/crop.0.0.640.640.180/d8f1481djw8evusrxujlqj20hs0hsglw.jpg",true,null,null
"4242444586966945","4242444586966945",1293240200,"4242425860188448",1526961073,0,0,0,"[羞嗒嗒][羞嗒嗒][羞嗒嗒]","[羞嗒嗒][羞嗒嗒][羞嗒嗒]",1254133312,1077,132,2581,25869,780,"我在这_彤","我在这_彤","百度id：彤★杰 ❤本命+底线张杰❤爱杰哥的第10年/副命舒畅/真爱杨紫 秦俊杰","f","11","6",true,"娱乐综艺视频自媒体",0,"北京 丰台区","https://tvax3.sinaimg.cn/crop.0.0.996.996.180/4d154788ly8fqmpxksb7fj20ro0rotbi.jpg",true,null,null
"4242444810040193","4242444810040193",3324716580,"4242425860188448",1526961126,0,0,0,"抽","抽",1365949195,95,3,1,271,185,"调月枝","调月枝","胜者为真","m","32","1000",false,"",-1,"江苏","https://tvax3.sinaimg.cn/crop.0.0.986.986.180/c62b2624ly8fr389yhe3xj20re0re0wk.jpg",true,null,null
"4242444956257478","4242444956257478",3499302703,"4242425860188448",1526961161,0,0,0,"转发微博","转发微博",1372802194,54,12,10,127,128,"落大雨你淋雨","落大雨你淋雨","我开心就好！","m","100","1000",false,"",-1,"其他","https://tvax1.sinaimg.cn/crop.0.0.480.480.180/d0931f2fly8fhu9yflhn7j20dc0dcdh1.jpg",true,null,null
"4242445065898906","4242445065898906",5618645248,"4242425860188448",1526961187,0,0,0,".",".",1437530946,39,2,1,98,160,"FGManchester","FGManchester","这里是曼切斯特死忠","m","100","1000",false,"",-1,"其他","https://tva2.sinaimg.cn/crop.0.0.996.996.180/0068fgisjw8fc3dgo1y87j30ro0rojuj.jpg",true,null,null
"4242446341001761","4242446341001761",5760352130,"4242425860188448",1526961490,0,2,1,"这个…转发的人比我的还少…[吃瓜]","这个…转发的人比我的还少…[吃瓜]",1447501458,8682,63,62,759,395,"总拿笔","总拿笔","科技与人文的十字路口。","m","400","1000",true,"知名数码博主",0,"海外","https://tvax2.sinaimg.cn/crop.0.0.1010.1010.180/006hPQJkly8fqkorueu39j30s20s20ub.jpg",true,null,null
"4242446835322983","4242446835322983",5918002020,"4242425860188448",1526961609,0,0,0,"转发微博","转发微博",1462363655,71,41,0,20,121,"天才少年罗太平","天才少年罗太平","保持本色和少年的心气","m","37","3",false,"",-1,"山东 淄博","https://tvax3.sinaimg.cn/crop.0.0.996.996.180/006svkFuly8fjo3sji8j9j30ro0romzn.jpg",true,null,null
"4242446865430721","4242446865430721",1238220421,"4242425860188448",1526961615,0,0,0,"转发和评论","转发和评论",1329998972,115,19,1899,2880,539,"liweidemingzitaiduole","liweidemingzitaiduole","","m","31","17",false,"",-1,"上海 松江区","https://tva4.sinaimg.cn/crop.0.0.180.180.180/49cdbe85jw1e8qgp5bmzyj2050050aa8.jpg",false,null,null
"4242446981806658","4242446981806658",5575237128,"4242425860188448",1526961645,0,0,0,"确实好看","确实好看",1427533650,974,183,11,6551,3553,"峄山雄鹰sqhsznxmp","峄山雄鹰sqhsznxmp","给平淡的生活加点盐 有滋有味有声有色","m","37","1000",false,"",-1,"山东","https://tva2.sinaimg.cn/crop.0.0.996.996.180/0065j7Rujw8fcl6q4v8gbj30ro0rp764.jpg",true,null,null
"4242447024984082","4242447024984082",2096735263,"4242425860188448",1526961654,0,0,0,"转发那么少，中奖概率不低@Aisha__________________","转发那么少，中奖概率不低@Aisha__________________",1303293012,103,29,67,614,313,"老刀MAT","老刀MAT","","m","44","1",false,"",-1,"广东 广州","https://tva3.sinaimg.cn/crop.0.0.180.180.180/7cf9a41fjw8egw50s60jnj205005074f.jpg",true,null,null
"4242447112217895","4242447112217895",1936402962,"4242425860188448",1526961675,0,0,1,"第一个看到抽R1的","第一个看到抽R1的",1305625381,385,57,576,15642,2591,"HGW_XX_7","HGW_XX_7","一个活着的三俗纲伪狼科草泥马。","m","31","17",false,"",-1,"上海 松江区","https://tva3.sinaimg.cn/crop.38.0.367.367.180/736b2a12gw1ek9kvwxcsjj20cg0aa3zz.jpg",true,null,null
"4242447351952434","4242447351952434",1787043425,"4242425860188448",1526961731,0,0,1,"[泪]","[泪]",1280921743,290,69,375,2492,872,"目前负资产状态","目前负资产状态","没钱勿扰•日常抽奖号","m","32","12",false,"",220,"江苏 泰州","https://tvax4.sinaimg.cn/crop.0.0.1536.1536.180/6a841e61ly8fo57f1yocdj216o16oq7h.jpg",true,null,null
"4242447464869812","4242447464869812",1840255550,"4242425860188448",1526961758,0,1,0,"[爱你][爱你]哇……次世代旗舰手机#坚果R1# ","[爱你][爱你]哇……次世代旗舰手机#坚果R1# ",1286160765,102,75,128,877,95,"张子鄂","张子鄂","以傲慢与偏执，回敬傲慢与偏见，天生骄傲。","m","11","8",false,"",220,"北京 海淀区","https://tvax1.sinaimg.cn/crop.0.0.1010.1010.180/6db0123ely8frcgrea4ijj20s20s2my4.jpg",false,null,null
"4242447993145521","4242447993145521",3127134885,"4242425860188448",1526961885,0,0,0,"锤粉[好喜欢]","锤粉[好喜欢]",1353142381,93,29,31,254,167,"京芷卉的谢井源","京芷卉的谢井源","阿门 阿前 一棵葡萄树!!!..","m","33","1",false,"",-1,"浙江 杭州","https://tvax4.sinaimg.cn/crop.0.0.996.996.180/ba644aa5ly8fm2ejydgarj20ro0rodgu.jpg",true,null,null
